epoch,train_acc,val_acc
1,0.6254389387436597,0.7179253867151957
2,0.7417089348419821,0.7497725204731575
3,0.7670698400312134,0.7625113739763422
4,0.7869683964104565,0.7852593266606005
5,0.8041357783847054,0.7943585077343039
